File Name,Entity1,Entity2, 
105.txt,shinzo abe,george w bush abes, 
105.txt,shinzo abe,bush
105.txt,shinzo abe,washington
105.txt,shinzo abe,emissions abe
105.txt,shinzo abe,ssinf
105.txt,shinzo abe,economy    
105.txt,shinzo abe,accordingly
105.txt,shinzo abe,meanwhile
105.txt,shinzo abe,abe
105.txt,shinzo abe,summit
105.txt,george w bush abes,bush
105.txt,george w bush abes,washington
105.txt,george w bush abes,emissions abe
105.txt,george w bush abes,ssinf
105.txt,george w bush abes,economy    trade
105.txt,george w bush abes,accordingly
105.txt,george w bush abes,meanwhile
105.txt,george w bush abes,abe
105.txt,george w bush abes,summit
105.txt,bush,description   keywords
105.txt,bush,washington
105.txt,bush,emissions abe
105.txt,bush,ssinf
105.txt,bush,economy    trade
105.txt,bush,accordingly
105.txt,bush,meanwhile
105.txt,bush,abe
105.txt,bush,summit
106.txt,fatih,economy
106.txt,fatih,trade
106.txt,fatih,estimation
106.txt,fatih,aluminum   cement
106.txt,birol,economy
106.txt,birol,trade
106.txt,birol,estimation
106.txt,birol,aluminum   cement
111.txt,angela merkel,nicolas sarkozy
111.txt,angela merkel,silvio berlusconi
111.txt,angela merkel,valentino valentini
111.txt,angela merkel,sarkozy
111.txt,angela merkel,berlusconi
111.txt,angela merkel,herman van rompuy
111.txt,angela merkel,emulate   unconventional   italian
111.txt,nicolas sarkozy,silvio berlusconi
111.txt,nicolas sarkozy,valentino valentini
111.txt,nicolas sarkozy,sarkozy
111.txt,nicolas sarkozy,berlusconi
111.txt,nicolas sarkozy,herman van rompuy
111.txt,nicolas sarkozy,emulate   unconventional   italian
111.txt,silvio berlusconi,valentino valentini
111.txt,silvio berlusconi,sarkozy
111.txt,silvio berlusconi,berlusconi
111.txt,silvio berlusconi,herman van rompuy
111.txt,silvio berlusconi,emulate   unconventional   italian
111.txt,valentino valentini,sarkozy
111.txt,valentino valentini,berlusconi
111.txt,valentino valentini,herman van rompuy
111.txt,valentino valentini,emulate   unconventional   italian
111.txt,sarkozy,berlusconi
111.txt,sarkozy,herman van rompuy
111.txt,sarkozy,emulate   unconventional   italian
111.txt,berlusconi,herman van rompuy
111.txt,berlusconi,emulate   unconventional   italian
